slack,lp,exact,ratio
0.1,0.6,1,0.6
0.03,0.53,1,0.53
0.01,0.51,1,0.51
0.003,0.503,1,0.503
0.001,0.501,1,0.501
0.0001,0.5001,1,0.5001
