neutral,method,learner,budget,seed,gap,qualified,mean_partner_return,bits
0,diagnostic_uniform,search,256,50009,0,1,0.906956521739,101101
0,diagnostic_uniform,search,256,50010,0,1,0.906956521739,101101
0,diagnostic_uniform,search,256,50011,0.02,0,0.865217391304,111101
0,diagnostic_uniform,search,256,50012,0.0133333333333,1,0.898260869565,001101
0,diagnostic_uniform,search,256,50013,0,1,0.906956521739,101101
0,diagnostic_uniform,search,256,50014,0.0133333333333,1,0.898260869565,001101
0,diagnostic_uniform,search,256,50015,0.02,0,0.865217391304,111101
0,diagnostic_uniform,search,256,50016,0.0133333333333,1,0.898260869565,001101
0,diagnostic_uniform,search,256,50017,0.0416666666667,0,0.77652173913,101001
0,diagnostic_uniform,search,256,50018,0,1,0.906956521739,101101
0,diagnostic_uniform,search,256,50019,0.02,0,0.865217391304,111101
0,diagnostic_uniform,search,256,50020,0,1,0.906956521739,101101
0,diagnostic_uniform,search,256,50021,0,1,0.906956521739,101101
0,diagnostic_uniform,search,256,50022,0,1,0.906956521739,101101
0,diagnostic_uniform,search,256,50023,0.0133333333333,1,0.898260869565,001101
0,diagnostic_uniform,search,1024,50000,0.0133333333333,1,0.947391304348,001101
0,diagnostic_uniform,search,1024,50001,0.0133333333333,1,0.947391304348,001101
0,diagnostic_uniform,search,1024,50002,0.02,0,0.90652173913,111101
0,diagnostic_uniform,search,1024,50003,0.0133333333333,1,0.947391304348,001101
0,diagnostic_uniform,search,1024,50004,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50005,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50006,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50007,0.0433333333333,0,0.832608695652,000101
0,diagnostic_uniform,search,1024,50008,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50009,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50010,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50011,0.0133333333333,1,0.947391304348,001101
0,diagnostic_uniform,search,1024,50012,0.02,0,0.90652173913,111101
0,diagnostic_uniform,search,1024,50013,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50014,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50015,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50016,0.0133333333333,1,0.947391304348,001101
0,diagnostic_uniform,search,1024,50017,0.0133333333333,1,0.947391304348,001101
0,diagnostic_uniform,search,1024,50018,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50019,0.02,0,0.90652173913,111101
0,diagnostic_uniform,search,1024,50020,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50021,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50022,0,1,0.969130434783,101101
0,diagnostic_uniform,search,1024,50023,0,1,0.969130434783,101101
0,diagnostic_uniform,search,4096,50000,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50001,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50002,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50003,0.0133333333333,1,0.95,001101
0,diagnostic_uniform,search,4096,50004,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50005,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50006,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50007,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50008,0,1,0.997826086957,101101
0,diagnostic_uniform,search,4096,50009,0,1,0.997826086957,101101
