n,seed,eta,plugin,robust,actual,plugin_accept,robust_accept,plugin_false,robust_false,interval_covers
16,0,0.075,0.25,0,0.066,1,0,1,0,1
16,0,0.15,0.25,0,0.066,1,0,1,0,1
16,1,0.075,0.3125,0,0.133333333333,1,0,0,0,1
16,1,0.15,0.3125,0,0.133333333333,1,0,1,0,1
16,2,0.075,0.5,0,0.146666666667,1,0,0,0,1
16,2,0.15,0.5,0,0.146666666667,1,0,1,0,1
16,3,0.075,0.375,0,0.16,1,0,0,0,1
16,3,0.15,0.375,0,0.16,1,0,0,0,1
16,4,0.075,0.375,0,0.0953333333333,1,0,0,0,1
16,4,0.15,0.375,0,0.0953333333333,1,0,1,0,1
16,5,0.075,0.5,0,0,1,0,1,0,1
16,5,0.15,0.5,0,0,1,0,1,0,1
16,6,0.075,0.4375,0,0,1,0,1,0,1
16,6,0.15,0.4375,0,0,1,0,1,0,1
16,7,0.075,0.375,0,0.117333333333,1,0,0,0,1
16,7,0.15,0.375,0,0.117333333333,1,0,1,0,1
16,8,0.075,0.375,0,0,1,0,1,0,1
16,8,0.15,0.375,0,0,1,0,1,0,1
16,9,0.075,0.375,0,0,1,0,1,0,1
16,9,0.15,0.375,0,0,1,0,1,0,1
16,10,0.075,0.1875,0,0.12,1,0,0,0,1
16,10,0.15,0.1875,0,0.12,1,0,1,0,1
16,11,0.075,0.25,0,0.133333333333,1,0,0,0,1
16,11,0.15,0.25,0,0.133333333333,1,0,1,0,1
16,12,0.075,0.25,0,0.0806666666667,1,0,0,0,1
16,12,0.15,0.25,0,0.0806666666667,1,0,1,0,1
16,13,0.075,0.3125,0,0.16,1,0,0,0,1
16,13,0.15,0.3125,0,0.16,1,0,0,0,1
16,14,0.075,0.25,0,0,1,0,1,0,1
16,14,0.15,0.25,0,0,1,0,1,0,1
16,15,0.075,0.4375,0,0.186666666667,1,0,0,0,1
16,15,0.15,0.4375,0,0.186666666667,1,0,0,0,1
16,16,0.075,0.5,0,0.2,1,0,0,0,1
16,16,0.15,0.5,0,0.2,1,0,0,0,1
16,17,0.075,0.375,0,0.213333333333,1,0,0,0,1
16,17,0.15,0.375,0,0.213333333333,1,0,0,0,1
16,18,0.075,0.125,0,0,1,0,1,0,1
16,18,0.15,0.125,0,0,0,0,0,0,1
16,19,0.075,0.1875,0,0.24,1,0,0,0,1
16,19,0.15,0.1875,0,0.24,1,0,0,0,1
16,20,0.075,0.3125,0,0.12,1,0,0,0,1
16,20,0.15,0.3125,0,0.12,1,0,1,0,1
16,21,0.075,0.1875,0,0.133333333333,1,0,0,0,1
16,21,0.15,0.1875,0,0.133333333333,1,0,1,0,1
16,22,0.075,0.3125,0,0.146666666667,1,0,0,0,1
16,22,0.15,0.3125,0,0.146666666667,1,0,1,0,1
16,23,0.075,0.25,0,0,1,0,1,0,1
16,23,0.15,0.25,0,0,1,0,1,0,1
16,24,0.075,0.3125,0,0.0953333333333,1,0,0,0,1
16,24,0.15,0.3125,0,0.0953333333333,1,0,1,0,1
16,25,0.075,0.375,0,0.102666666667,1,0,0,0,1
16,25,0.15,0.375,0,0.102666666667,1,0,1,0,1
16,26,0.075,0.375,0,0,1,0,1,0,1
16,26,0.15,0.375,0,0,1,0,1,0,1
16,27,0.075,0.375,0,0.117333333333,1,0,0,0,1
16,27,0.15,0.375,0,0.117333333333,1,0,1,0,1
16,28,0.075,0.4375,0,0.124666666667,1,0,0,0,1
16,28,0.15,0.4375,0,0.124666666667,1,0,1,0,1
16,29,0.075,0.25,0,0.24,1,0,0,0,1
16,29,0.15,0.25,0,0.24,1,0,0,0,1
16,30,0.075,0.3125,0,0.12,1,0,0,0,1
16,30,0.15,0.3125,0,0.12,1,0,1,0,1
16,31,0.075,0.3125,0,0.133333333333,1,0,0,0,1
16,31,0.15,0.3125,0,0.133333333333,1,0,1,0,1
16,32,0.075,0.25,0,0.0806666666667,1,0,0,0,1
16,32,0.15,0.25,0,0.0806666666667,1,0,1,0,1
16,33,0.075,0.5,0,0.16,1,0,0,0,1
16,33,0.15,0.5,0,0.16,1,0,0,0,1
16,34,0.075,0.375,0,0.173333333333,1,0,0,0,1
16,34,0.15,0.375,0,0.173333333333,1,0,0,0,1
16,35,0.075,0.25,0,0.186666666667,1,0,0,0,1
16,35,0.15,0.25,0,0.186666666667,1,0,0,0,1
16,36,0.075,0.1875,0,0.2,1,0,0,0,1
16,36,0.15,0.1875,0,0.2,1,0,0,0,1
16,37,0.075,0.5,0,0.213333333333,1,0,0,0,1
16,37,0.15,0.5,0,0.213333333333,1,0,0,0,1
16,38,0.075,0.5,0,0.124666666667,1,0,0,0,1
16,38,0.15,0.5,0,0.124666666667,1,0,1,0,1
16,39,0.075,0.25,0,0.132,1,0,0,0,1
16,39,0.15,0.25,0,0.132,1,0,1,0,1
16,40,0.075,0.25,0,0.066,1,0,1,0,1
16,40,0.15,0.25,0,0.066,1,0,1,0,1
16,41,0.075,0.4375,0,0.133333333333,1,0,0,0,1
16,41,0.15,0.4375,0,0.133333333333,1,0,1,0,1
16,42,0.075,0.25,0,0.0806666666667,1,0,0,0,1
16,42,0.15,0.25,0,0.0806666666667,1,0,1,0,1
16,43,0.075,0.1875,0,0.16,1,0,0,0,1
16,43,0.15,0.1875,0,0.16,1,0,0,0,1
16,44,0.075,0.4375,0,0.173333333333,1,0,0,0,1
16,44,0.15,0.4375,0,0.173333333333,1,0,0,0,1
16,45,0.075,0.25,0,0.186666666667,1,0,0,0,1
16,45,0.15,0.25,0,0.186666666667,1,0,0,0,1
16,46,0.075,0.1875,0,0.2,1,0,0,0,1
16,46,0.15,0.1875,0,0.2,1,0,0,0,1
16,47,0.075,0.1875,0,0.117333333333,1,0,0,0,1
16,47,0.15,0.1875,0,0.117333333333,1,0,1,0,1
16,48,0.075,0.4375,0,0.226666666667,1,0,0,0,1
16,48,0.15,0.4375,0,0.226666666667,1,0,0,0,1
16,49,0.075,0.375,0,0.24,1,0,0,0,1
16,49,0.15,0.375,0,0.24,1,0,0,0,1
16,50,0.075,0.375,0,0.12,1,0,0,0,1
16,50,0.15,0.375,0,0.12,1,0,1,0,1
16,51,0.075,0.25,0,0,1,0,1,0,1
16,51,0.15,0.25,0,0,1,0,1,0,1
16,52,0.075,0.375,0,0.146666666667,1,0,0,0,1
16,52,0.15,0.375,0,0.146666666667,1,0,1,0,1
16,53,0.075,0.3125,0,0.16,1,0,0,0,1
