seed,environments,policies,bad_pairs,uniform,lp,exact,ratio
0,3,4,5,0.0264445978899,0.354794305254,0.354794305254,1
1,4,5,7,0.116487409499,0.351170940858,0.351170940858,1
2,5,6,8,0.0886593066269,0.678411857858,0.678411857858,1
3,3,7,10,0.119245193042,0.43453674164,0.43453674164,1
4,4,4,3,0.0773778508332,0.476215316437,0.476215316437,1
5,5,5,7,0.331969203813,0.436318325531,0.436318325531,1
6,3,6,8,0.0984369327573,0.479835309879,0.479835309879,1
7,4,7,12,0.0298125558349,0.383168305533,0.416999406641,0.918870145691
8,5,4,1,0.180576614282,0.676715799036,0.676715799036,1
9,3,5,4,0.245854180123,0.384116528497,0.384116528497,1
10,4,6,9,0.120497885833,0.417685165159,0.417685165159,1
11,5,7,6,0.0221554667475,0.299343333805,0.401092941293,0.746319127034
12,3,4,3,0.0152853740428,0.65185538842,0.65185538842,1
13,4,5,5,0.0520703156882,0.597657543709,0.597657543709,1
14,5,6,5,0.126903604305,0.424876556612,0.424876556612,1
15,3,7,8,0.0897585852011,0.0839875179845,0.126255000975,0.665221316668
16,4,4,4,0.0524559468769,0.469311943842,0.469311943842,1
17,5,5,4,0.162909349066,0.640707019835,0.643543592603,0.995592260103
18,3,6,13,0.184530975038,0.358220701419,0.358220701419,1
19,4,7,12,0.00665338660906,0.509436577651,0.509436577651,1
20,5,4,4,0.259929827496,0.638784158457,0.638784158457,1
21,3,5,5,0.139437874491,0.606183411036,0.606183411036,1
22,4,6,5,0.0671842293154,0.248303609051,0.248303609051,1
23,5,7,12,0.0739658759975,0.271341003713,0.271341003713,1
24,3,4,4,0.212153092271,0.606299369317,0.606299369317,1
25,4,5,8,0.0477605411762,0.472899345862,0.472899345862,1
26,5,6,7,0.00710912548396,0.626360957465,0.626360957465,1
27,3,7,11,0.063795406337,0.317054083779,0.317054083779,1
28,4,4,4,0.0210489956696,0.472993453801,0.472993453801,1
29,5,5,4,0.114690035621,0.701806469264,0.701806469264,1
30,3,6,10,0.16778158046,0.29634862846,0.29634862846,1
31,4,7,8,0.361376822712,0.571748374759,0.571748374759,1
32,5,4,4,0.127101618715,0.520044267565,0.520044267565,1
33,3,5,6,0.212388875372,0.294478406151,0.294478406151,1
34,4,6,7,0.0160925880562,0.228138599856,0.228138599856,1
35,5,7,13,0.0302695973015,0.443799231017,0.443799231017,1
36,3,4,3,0.373195179715,0.653122291484,0.653122291484,1
37,4,5,4,0.266452370488,0.517281720856,0.863690510765,0.598920231736
38,5,6,8,0.0615636778617,0.471527522271,0.471527522271,1
39,3,7,10,0.257171817093,0.47092953992,0.47092953992,1
40,4,4,3,0.059726580112,0.600833787203,0.600833787203,1
41,5,5,6,0.146562276738,0.342794074623,0.342794074623,1
42,3,6,9,0.0194808787177,0.149047856294,0.149047856294,1
43,4,7,11,0.101025805,0.615445236996,0.615445236996,1
44,5,4,4,0.07255760313,0.757067770451,0.757067770451,1
45,3,5,3,0.333387935174,0.873323891519,0.873323891519,1
46,4,6,7,0.108092409367,0.490410149446,0.633103623354,0.774612766941
47,5,7,14,0.0405979625527,0.363918021251,0.396463053122,0.917911564231
48,3,4,1,0.186801529235,0.364418409403,0.401978351493,0.906562276425
49,4,5,6,0.163284310567,0.727001031317,0.727001031317,1
50,5,6,10,0.0445760198048,0.417039028527,0.417039028527,1
51,3,7,11,0.163046723632,0.275057243591,0.275057243591,1
52,4,4,5,0.00342615499105,0.414559002138,0.414559002138,1
53,5,5,6,0.0150894640041,0.756055683076,0.756055683076,1
54,3,6,6,0.241716669823,0.466097037293,0.466097037293,1
55,4,7,11,0.216753964171,0.461637538601,0.461637538601,1
56,5,4,2,0.179116892578,0.449149849123,0.617738418441,0.727087446263
57,3,5,4,0.00569526536236,0.115186267318,0.115186267318,1
58,4,6,8,0.0498146402624,0.265020808331,0.2693990802,0.983748007358
59,5,7,11,0.0234051835209,0.284385720511,0.357995370379,0.794383793875
60,3,4,3,0.305524665877,0.386481552556,0.434018117202,0.890473317215
61,4,5,5,0.0836262466554,0.471904904865,0.471904904865,1
62,5,6,6,0.0681475827076,0.870769721317,0.870769721317,1
63,3,7,13,0.00616928918502,0.289671779711,0.306340952485,0.945586208312
64,4,4,3,0.0246738076485,0.376050603009,0.376050603009,1
65,5,5,5,0.189136636288,0.582523354024,0.610927602077,0.953506359909
66,3,6,5,0.463200138866,0.723859283248,0.723859283248,1
67,4,7,10,0.0637360063686,0.255916122093,0.255916122093,1
68,5,4,5,0.0747847232165,0.261436058957,0.261436058957,1
69,3,5,5,0.0431762571876,0.611341539153,0.611341539153,1
70,4,6,11,0.0376193662798,0.456501911671,0.456501911671,1
71,5,7,11,0.0295885636087,0.402587573858,0.402587573858,1
72,3,4,1,0.747539144536,0.831356752719,0.831356752719,1
73,4,5,4,0.117446495488,0.585501510189,0.585501510189,1
74,5,6,4,0.174624373546,0.303071826428,0.430748128037,0.703594065073
75,3,7,12,0.0857699730065,0.162894051047,0.162894051047,1
76,4,4,3,0.0952736964008,0.24900584531,0.24900584531,1
77,5,5,5,0.0648549875348,0.602675718231,0.602675718231,1
78,3,6,7,0.00719678632745,0.16857555998,0.191562038687,0.880005042417
79,4,7,8,0.121751535697,0.334061023777,0.334061023777,1
80,5,4,4,0.0123771325615,0.405575685608,0.405575685608,1
81,3,5,4,0.112279719171,0.406569773504,0.406569773504,1
82,4,6,8,0.179487084283,0.526603926949,0.526603926949,1
83,5,7,10,0.0739780303902,0.334065616813,0.401999432211,0.831010170775
84,3,4,2,0.255807476697,0.912948450779,0.912948450779,1
85,4,5,7,0.272454594308,0.467629041597,0.467629041597,1
86,5,6,9,0.283401501294,0.243529969823,0.359425400338,0.677553588573
87,3,7,13,0.00554694757115,0.341127117285,0.341127117285,1
88,4,4,4,0.246672386105,0.373829016867,0.373829016867,1
89,5,5,5,0.18949554166,0.466082747186,0.466082747186,1
90,3,6,6,0.132984089964,0.486301290473,0.486301290473,1
91,4,7,11,0.156449009551,0.346843445384,0.346843445384,1
92,5,4,4,0.0841985139697,0.179872463083,0.291252697888,0.617582135333
93,3,5,7,0.131368191395,0.415585858687,0.415585858687,1
94,4,6,6,0.0892174861963,0.748461308759,0.748461308759,1
95,5,7,10,0.0325020510703,0.453527539194,0.453527539194,1
96,3,4,2,0.303029183396,0.794289692567,0.794289692567,1
97,4,5,6,0.0378223703578,0.3449695376,0.3449695376,1
98,5,6,6,0.0712226716618,0.447195078131,0.452935467744,0.987326252807
99,3,7,7,0.0761477477231,0.49964195099,0.49964195099,1
100,4,4,5,0.0098903030176,0.566655302814,0.566655302814,1
101,5,5,7,0.152722283792,0.707272470136,0.707272470136,1
102,3,6,6,0.127673544381,0.274467147413,0.309414468145,0.887053372321
103,4,7,8,0.10833576365,0.352358598317,0.401553154534,0.877489304562
104,5,4,4,0.0335742837945,0.672509660329,0.672509660329,1
105,3,5,3,0.160490398607,0.590460533388,0.590460533388,1
106,4,6,8,0.0819225100907,0.530701456004,0.530701456004,1
107,5,7,8,0.17839389068,0.551215701848,0.587477026209,0.938276183164
108,3,4,3,0.00602991788863,0.168158344556,0.168158344556,1
109,4,5,8,0.0211069920072,0.566628696998,0.566628696998,1
110,5,6,9,0.14691025445,0.436875246017,0.436875246017,1
111,3,7,8,0.103086662318,0.396118109615,0.476394941773,0.831491006476
112,4,4,2,0.0776367377888,0.655657092915,0.655657092915,1
113,5,5,5,0.267360878489,0.501039169021,0.501039169021,1
114,3,6,3,0.262672740809,0.925187491964,0.925187491964,1
115,4,7,14,0.0488478770335,0.262583321217,0.262583321217,1
116,5,4,1,0.062346788237,0.577544947768,0.577544947768,1
117,3,5,3,0.0364416635079,0.639555218295,0.639555218295,1
118,4,6,13,0.257811911663,0.454766210417,0.454766210417,1
119,5,7,4,0.179580758435,0.371266040687,0.371266040687,1
