neutral,eta,margin,near_optimal,worst
0,0,0.1,1,1
0,0.005,0.1,1,1
0,0.01,0.1,1,1
0,0.02,0.1,1,1
0,0.05,0.1,1,1
0,0.1,0.1,3,0
1,0,0.0666666666667,1,1
1,0.005,0.0666666666667,1,1
1,0.01,0.0666666666667,1,1
1,0.02,0.0666666666667,1,1
1,0.05,0.0666666666667,1,1
1,0.1,0.0666666666667,3,0
2,0,0.05,1,1
2,0.005,0.05,1,1
2,0.01,0.05,1,1
2,0.02,0.05,1,1
2,0.05,0.05,1,1
2,0.1,0.05,3,0
4,0,0.0333333333333,1,1
4,0.005,0.0333333333333,1,1
4,0.01,0.0333333333333,1,1
4,0.02,0.0333333333333,1,1
4,0.05,0.0333333333333,3,0
4,0.1,0.0333333333333,3,0
8,0,0.02,1,1
8,0.005,0.02,1,1
8,0.01,0.02,1,1
8,0.02,0.02,1,1
8,0.05,0.02,3,0
8,0.1,0.02,3,0
18,0,0.01,1,1
18,0.005,0.01,1,1
18,0.01,0.01,1,1
18,0.02,0.01,3,0
18,0.05,0.01,3,0
18,0.1,0.01,3,0
38,0,0.005,1,1
38,0.005,0.005,3,0
38,0.01,0.005,3,0
38,0.02,0.005,3,0
38,0.05,0.005,3,0
38,0.1,0.005,3,0
78,0,0.0025,1,1
78,0.005,0.0025,3,0
78,0.01,0.0025,3,0
78,0.02,0.0025,3,0
78,0.05,0.0025,3,0
78,0.1,0.0025,3,0
