seed,dimension,original_margin,expanded_margin
0,3,0.121901915244,0
1,4,0.0591908719051,0
2,5,0.070186823621,0
3,3,0.102982266342,0
4,4,0.0757412383457,0
5,5,0.0855219870637,0
6,3,0.120995260774,0
7,4,0.0728931713872,0
8,5,0.0445676701364,0
9,3,0.208433852291,0
10,4,0.087466193423,0
11,5,0.0665148225207,0
12,3,0.0936876785226,0
13,4,0.088799476936,0
14,5,0.0699142204019,0
15,3,0.115058548138,0
16,4,0.0824346157067,0
17,5,0.069577352075,0
18,3,0.150064036982,0
19,4,0.0967077684804,0
20,5,0.0930767727063,0
21,3,0.145870608496,0
22,4,0.0591605161214,0
23,5,0.0666580137371,0
24,3,0.107776050904,0
25,4,0.128196275194,0
26,5,0.0639076460135,0
27,3,0.157414029122,0
28,4,0.106562609123,0
29,5,0.0813324030952,0
30,3,0.0745320365848,0
31,4,0.157458851099,0
32,5,0.131776152572,0
33,3,0.124521072342,0
34,4,0.108772075199,0
35,5,0.052344672961,0
36,3,0.136966144418,0
37,4,0.0990818072101,0
38,5,0.0960468121256,0
39,3,0.171318370228,0
40,4,0.145933691699,0
41,5,0.0887934936107,0
42,3,0.150785402588,0
43,4,0.0863023731369,0
44,5,0.144510603194,0
45,3,0.205644805718,0
46,4,0.161240303861,0
47,5,0.0654521422127,0
48,3,0.461614157779,0
49,4,0.0653207327946,0
50,5,0.0667670334127,0
51,3,0.319028386286,0
52,4,0.114483291963,0
53,5,0.0983376711443,0
54,3,0.293950284475,0
55,4,0.0862388453652,0
56,5,0.0994942263733,0
57,3,0.17847629343,0
58,4,0.074662141559,0
59,5,0.0753576528278,0
60,3,0.140931163919,0
61,4,0.0835222590018,0
62,5,0.0848734013202,0
63,3,0.12133063947,0
64,4,0.0922248149097,0
65,5,0.048182898082,0
66,3,0.119073045134,0
67,4,0.0835332179794,0
68,5,0.0508659321612,0
69,3,0.117257241292,0
70,4,0.0830814892695,0
71,5,0.0567353183233,0
72,3,0.124085216163,0
73,4,0.121849522415,0
74,5,0.048151530012,0
75,3,0.176813191248,0
76,4,0.0884525545929,0
77,5,0.109227803097,0
78,3,0.116475529814,0
79,4,0.0640662275013,0
80,5,0.0736464868501,0
81,3,0.206597541813,0
82,4,0.0745640554399,0
83,5,0.0826140936583,0
84,3,0.126066256936,0
85,4,0.178475608656,0
86,5,0.0477583466679,0
87,3,0.163187437711,0
88,4,0.0693935501206,0
89,5,0.0877540237853,0
90,3,0.129474592858,0
91,4,0.047664477777,0
92,5,0.0584265021862,0
93,3,0.113207149408,0
94,4,0.12692945392,0
95,5,0.0598764377718,0
96,3,0.207806038112,0
97,4,0.0783796993574,0
98,5,0.0718770722124,0
99,3,0.15243523254,0
