seed,certificate,witness,sampled_minimum,error
0,0,0,0.0187991894356,0
1,0.00420333676676,0.00420333676676,0.00826277312599,0
2,0,1.11022302463e-16,0.000542870146231,1.11022302463e-16
3,0,0,0.000439722671892,0
4,0,0,0.0312780056464,0
5,0.0840238935747,0.0840238935747,0.0867975413148,0
6,0,1.11022302463e-16,0.0569724995713,1.11022302463e-16
7,0.115516955957,0.115516955957,0.117885239995,0
8,0,0,0.0596126442098,0
9,0.00959820939164,0.00959820939164,0.0128736324915,0
10,0,0,0.0544948714265,0
11,0.257832375316,0.257832375316,0.258978453423,0
12,0,1.11022302463e-16,0.0330894780859,1.11022302463e-16
13,0.0375808425216,0.0375808425216,0.0398894695814,0
14,0,0,0.0177902635174,0
15,0.262174673419,0.262174673419,0.265405080171,0
16,0.00329935831059,0.00329935831059,0.0790098554339,0
17,0.221386999277,0.221386999277,0.224259295998,0
18,0,1.11022302463e-16,0.134176610479,1.11022302463e-16
19,0.215187671557,0.215187671557,0.221038261597,0
20,0,0,0.0142045402263,0
21,0.0424637071221,0.0424637071221,0.0442659413722,0
22,0,0,0.100766700623,0
23,0.0905434843293,0.0905434843293,0.0945697491608,0
24,0,0,0.0358547004956,0
25,0.226408914004,0.226408914004,0.22868039542,0
26,0,1.11022302463e-16,0.00584304177921,1.11022302463e-16
27,0.160318909419,0.160318909419,0.165826670168,0
28,0,1.11022302463e-16,0.0292749154765,1.11022302463e-16
29,0.42971545438,0.42971545438,0.433296067786,0
30,0,0,0.00113086602448,0
31,0.161007462059,0.161007462059,0.16176840108,0
32,0,0,0.0304658098129,0
33,0.499552170327,0.499552170327,0.503152059749,0
34,0,0,0.0630216075046,0
35,0.248832217194,0.248832217194,0.251597723717,0
36,0,0,0.00343675462028,0
37,0.0258568571772,0.0258568571772,0.0290335063928,0
38,0,0,0.114237088906,0
39,0.133511031354,0.133511031354,0.136621470041,0
40,0,0,0.0041263032127,0
41,0.110732672444,0.110732672444,0.1151615582,0
42,0,0,0.00195685612914,0
43,0.0785725523456,0.0785725523456,0.0809279557856,0
44,0,0,0.00379876543873,0
45,0.0777005346131,0.0777005346131,0.0787332370054,0
46,0,1.11022302463e-16,0.0174750694093,1.11022302463e-16
47,0.112492277969,0.112492277969,0.114697647481,0
48,0,0,0.0276775887762,0
49,0.330613001265,0.330613001265,0.334695952956,0
50,0,0,0.00223537927623,0
51,0.342356546157,0.342356546157,0.34526894572,0
52,0,0,0.11911183117,0
53,0.222217946136,0.222217946136,0.225339761582,0
54,0.0415284576656,0.0415284576656,0.142917525003,0
55,0.133677186537,0.133677186537,0.136385444485,0
56,0,0,0.0309481159028,0
57,0.225596589776,0.225596589776,0.226732697951,0
58,0.00982328645637,0.00982328645637,0.168898057765,0
59,0.245067937833,0.245067937833,0.248216598282,0
60,0,2.22044604925e-16,0.0523459314001,2.22044604925e-16
61,0.0480384561973,0.0480384561973,0.049378770733,0
62,0,0,0.00622891270992,0
63,0.154619304167,0.154619304167,0.158479937354,0
64,0,0,0.0407451404248,0
65,0.0428725748508,0.0428725748508,0.0467101623559,0
66,0,0,0.00169841253799,0
67,0.131245063082,0.131245063082,0.132018260521,0
68,0,0,0.0427686840597,0
69,0.32743822959,0.32743822959,0.330761283755,0
70,0,0,0.000470163187435,0
71,0.188072357874,0.188072357874,0.191675373173,0
72,0,0,0.0233489648306,0
73,0.0457829035877,0.0457829035877,0.0506109602733,0
74,0,0,0.0189938285136,0
75,0.000843879224971,0.000843879224971,0.00240581238369,0
76,0,0,0.00095872297308,0
77,0.0817190437756,0.0817190437756,0.0855564056369,0
78,0,0,0.00911793799842,0
79,0.121204615275,0.121204615275,0.127048379524,0
80,0,0,2.15306540102e-05,0
81,0.365867857551,0.365867857551,0.368548046202,0
82,0,0,0.0679145364685,0
83,0.234498079719,0.234498079719,0.238661415273,0
84,0,0,0.0193828404763,0
85,0.279236681692,0.279236681692,0.28058615328,0
86,0,1.11022302463e-16,0.0186229800118,1.11022302463e-16
87,0.276994915906,0.276994915906,0.280757516023,0
88,0,0,0.0594347354585,0
89,0.192633693797,0.192633693797,0.19406643024,0
90,0,1.11022302463e-16,0.00328131538127,1.11022302463e-16
91,0.00736972963318,0.00736972963318,0.00923040944238,0
92,0,1.11022302463e-16,0.0692031563688,1.11022302463e-16
93,0.00815934695411,0.00815934695411,0.0140941394621,0
94,0,0,0.135917963723,0
95,0.192336133916,0.192336133916,0.193545794551,0
96,0,0,0.161857049726,0
97,0.160709705114,0.160709705114,0.164770038157,0
98,0.0158996861426,0.0158996861426,0.134363345277,0
99,0,0,0.000459134088546,0
100,0,2.22044604925e-16,0.134051580521,2.22044604925e-16
101,0.101445017283,0.101445017283,0.105286728285,0
102,0,0,0.066631296816,0
